                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     23,              0.0093492,              0.0053608,              0.0083996,             0.00069437,                0.99429,                0.99167,                0.99436,                0.98447,                0.99444,                 0.9897,                0.99434,                 0.9255,              0.0025694,               0.001837,              0.0021541,             0.00014971,                0.00901,                0.00901,                0.00901
                     24,              0.0092859,              0.0053628,              0.0084007,              0.0007188,                0.99439,                0.99168,                0.99435,                0.98445,                0.99433,                 0.9898,                0.99433,                0.92556,              0.0025667,              0.0018371,              0.0021515,              0.0001484,               0.008965,               0.008965,               0.008965
                     25,              0.0093274,              0.0053806,               0.008372,             0.00069049,                0.99453,                0.99164,                0.99436,                0.98449,                0.99356,                0.99058,                0.99434,                0.92571,              0.0025621,              0.0018352,              0.0021479,             0.00014735,                0.00892,                0.00892,                0.00892
                     26,              0.0092585,              0.0054295,              0.0083719,              0.0007093,                0.99458,                0.99165,                0.99436,                0.98449,                 0.9936,                0.99069,                0.99434,                0.92577,              0.0025594,              0.0018329,              0.0021462,             0.00014679,               0.008875,               0.008875,               0.008875
                     27,              0.0092506,              0.0054595,              0.0083439,             0.00071013,                0.99457,                0.99165,                0.99437,                0.98452,                0.99441,                0.98983,                0.99433,                0.92567,              0.0025561,              0.0018304,              0.0021425,             0.00014672,                0.00883,                0.00883,                0.00883
                     28,              0.0091644,              0.0053459,               0.008245,             0.00068034,                0.99452,                0.99167,                0.99436,                0.98454,                0.99442,                0.98977,                0.99433,                0.92576,              0.0025543,              0.0018294,              0.0021395,              0.0001462,               0.008785,               0.008785,               0.008785
                     29,              0.0090991,              0.0053348,              0.0082696,             0.00067314,                0.99452,                0.99159,                0.99436,                0.98466,                 0.9943,                0.98983,                0.99433,                0.92548,              0.0025519,              0.0018275,              0.0021369,             0.00014619,                0.00874,                0.00874,                0.00874
                     30,              0.0091279,              0.0053429,              0.0082426,             0.00069619,                0.99446,                0.99167,                0.99437,                0.98471,                0.99427,                0.98984,                0.99433,                0.92554,              0.0025512,              0.0018262,              0.0021353,             0.00014608,               0.008695,               0.008695,               0.008695
                     31,              0.0091143,              0.0053607,              0.0082597,             0.00068676,                0.99449,                0.99154,                0.99436,                 0.9847,                0.99429,                0.98972,                0.99433,                0.92553,              0.0025502,              0.0018244,              0.0021332,             0.00014668,                0.00865,                0.00865,                0.00865
                     32,              0.0089814,              0.0052753,              0.0081968,             0.00068189,                0.99452,                0.99152,                0.99437,                0.98467,                0.99439,                0.98967,                0.99433,                0.92533,              0.0025491,              0.0018232,              0.0021316,             0.00014718,               0.008605,               0.008605,               0.008605
                     33,               0.009016,              0.0053058,              0.0081658,              0.0006491,                0.99457,                0.99153,                0.99438,                0.98469,                0.99419,                0.98984,                0.99434,                 0.9254,              0.0025489,               0.001822,                0.00213,             0.00014716,                0.00856,                0.00856,                0.00856
                     34,              0.0089948,              0.0052843,              0.0082139,             0.00065455,                0.99448,                0.99159,                0.99438,                0.98471,                0.99455,                0.98953,                0.99435,                0.92541,               0.002548,              0.0018213,              0.0021282,             0.00014737,               0.008515,               0.008515,               0.008515
                     35,              0.0089534,              0.0052252,              0.0081169,             0.00065934,                 0.9944,                0.99152,                0.99439,                 0.9848,                0.99462,                 0.9894,                0.99435,                0.92541,              0.0025482,              0.0018207,              0.0021271,             0.00014727,                0.00847,                0.00847,                0.00847
                     36,              0.0089822,               0.005326,              0.0081827,             0.00066094,                 0.9943,                0.99162,                0.99438,                0.98506,                0.99465,                0.98936,                0.99435,                0.92526,              0.0025486,              0.0018191,              0.0021243,             0.00014749,               0.008425,               0.008425,               0.008425
                     37,              0.0088567,              0.0052786,              0.0080939,             0.00065092,                0.99427,                0.99163,                0.99438,                0.98478,                 0.9947,                0.98936,                0.99435,                0.92546,              0.0025487,              0.0018171,              0.0021223,             0.00014708,                0.00838,                0.00838,                0.00838
                     38,              0.0089033,              0.0052984,              0.0081233,             0.00063231,                0.99499,                0.99093,                0.99439,                0.98485,                0.99459,                0.98953,                0.99435,                0.92548,              0.0025489,              0.0018154,              0.0021204,             0.00014666,               0.008335,               0.008335,               0.008335
                     39,              0.0088462,              0.0052868,               0.008058,             0.00065898,                0.99511,                0.99094,                0.99439,                0.98486,                0.99463,                0.98944,                0.99436,                0.92565,              0.0025477,               0.001814,              0.0021185,             0.00014664,                0.00829,                0.00829,                0.00829
                     40,              0.0087908,              0.0052539,              0.0080263,             0.00064212,                0.99514,                0.99095,                0.99437,                0.98485,                0.99465,                 0.9895,                0.99435,                0.92553,              0.0025487,              0.0018131,              0.0021172,               0.000147,               0.008245,               0.008245,               0.008245
                     41,               0.008838,              0.0052563,              0.0080187,             0.00064742,                0.99512,                0.99095,                0.99439,                0.98491,                0.99465,                0.98948,                0.99436,                0.92557,              0.0025495,              0.0018117,               0.002116,             0.00014658,                 0.0082,                 0.0082,                 0.0082
                     42,              0.0087371,              0.0052417,              0.0080829,              0.0005976,                0.99518,                0.99098,                 0.9944,                0.98519,                0.99467,                0.98953,                0.99437,                0.92579,              0.0025472,              0.0018103,              0.0021142,             0.00014635,               0.008155,               0.008155,               0.008155
                     43,              0.0087633,              0.0052088,              0.0079853,             0.00062122,                0.99516,                0.99096,                 0.9944,                0.98522,                0.99466,                0.98946,                0.99437,                0.92598,              0.0025468,              0.0018095,              0.0021125,             0.00014606,                0.00811,                0.00811,                0.00811
                     44,              0.0087653,              0.0052393,              0.0080856,             0.00066885,                0.99514,                0.99097,                 0.9944,                0.98522,                0.99472,                0.98946,                0.99437,                0.92606,              0.0025471,              0.0018081,               0.002111,             0.00014565,               0.008065,               0.008065,               0.008065
                     45,              0.0086735,              0.0051928,               0.007982,              0.0006625,                0.99514,                0.99096,                0.99439,                0.98522,                0.99479,                 0.9893,                0.99436,                0.92618,               0.002544,              0.0018069,               0.002109,              0.0001453,                0.00802,                0.00802,                0.00802
